;Mythological Creature;Origin;Description;Powers;Weaknesses;Symbolism;Importance;Culture;Physical Appearance;Life Span;Habitat;Behavior;Significance in Myths and Legends;Modern Depictions;Related Mythologies
0;  Griffin; Ancient Greece; Majestic creature with the body of a lion and head/wings of an eagle; Strength, speed, keen vision; Overconfidence, inability to swim; Sun, courage, wisdom; Revered as divine guardian; Awe-inspiring size, golden feathers; Centuries; Mountains, cliffs; Solitary, territorial; Protector of treasure, pride; Starring role in many Greek myths; Majestic creature in heraldry and literature; Egyptian sphinx, Persian simurgh.
1; Kitsune; Japan; Fox-like spirit with multiple tails (up to nine); Shape-shifting, elemental control; Over-reliance on tricks, vulnerability to fox-repellent; Rice, prosperity, longevity; Respected shape-shifters; Fox-like, usually white or golden; Hundreds of years; Forests, shrines; Secretive, socialize with other kitsune; Tricksters, messengers between humans and kami; Key figures in Japanese folklore; Symbols of luck and mischief in pop culture; Korean kumiho, Chinese huli jing.
2; Jormungand; Norse; Massive serpent encircling Midgard; Poisonous breath, strength; Vulnerable to Ragnarok's destiny; Fear, chaos; Destruction, chaos; Monstrous sea serpent; Immortal; Ocean depths; Aggressive, territorial; Doomsday prophecy; Central figure in Ragnarok; Monsters in video games, literature; World-encircling dragons like Oroborus.
3; Chupacabra; Puerto Rico; Mythical beast known for sucking animal blood; Stealth, speed; Exposure to sunlight, vulnerability to firearms; Blood-lust, nocturnal nature; Unexplained livestock deaths; Canine-like, spiky back; Unknown; Rural, forested areas; Shy, nocturnal; Fear, paranoia; Modern legend of mysterious killings; Cryptid culture, horror movies; Similar to tales of ghouls and vampires.
4; Basilisk; Ancient Rome; Mythical serpent capable of killing with a gaze; Venomous touch, deadly gaze; Vulnerable to rooster's crow, mirrors; Domination, cruelty; Death, disease; Reptilian, crest, limbs; Few years; Warm, dark places; Aggressive, territorial; Destruction, tyranny; Key monster in myths and legends; Fantasy creatures, heraldry; Similar to dragons and cockatrices.
5; Banshee; Ireland; Female spirit wailing to foretell death; Shapeshifting, mournful wail; Vulnerable to Christian symbols, loud sounds; Prophecy, mourning; Death, rebirth; Ghostly, long hair, ragged clothes; Immortal; Haunted places; Solitary, nocturnal; Grief, warning; Key figures in Celtic mythology; Ghostly figures in movies, books; Similar to other vengeful spirits.
6; Phoenix; Ancient Egypt; Mythical bird rising from its own ashes; Fire immunity, regeneration; Destroyed by overwhelming fire, lack of ashes; Renewal, resurrection; Rebirth, fire, solar energy; Majestic, vibrant plumage; Immortal; Deserts, sacred sites; Solitary, territorial; Rebirth, renewal; Key figure in Egyptian and Greek myths; Symbol of renewal in various cultures; Similar to firebirds and thunderbirds.
7; Faun; Ancient Greece; Mischievous half-human, half-goat creatures; Shape-shifting, illusion casting; Vulnerable to enchanted plants, wreath of poisonous berries; Nature, chaos; Transitions, forests; Goat-like, horns, hooves; Centuries; Woods, rural areas; Playful, musical; Mischief, parties; Attendants of Dionysus; Iconic figures in Roman and Greek mythology; Modern depictions in movies, tv  Similar to satyrs and Silenus.
8; Dragon; Various; Powerful, legendary creatures associated with treasures; Breathing fire/elements, immense strength; Vulnerable to dragon-slayers, sacred weapons; Dominance, wisdom; Power, primal forces; Serpentine, massive size; Aeons; Caves, hoards; Solitary, territorial; Elemental forces; Key figures in myths and legends; Popular culture symbols; Similar to wyverns and naga.
9; Valkyrie; Norse; Female figures guiding fallen warriors to Valhalla; Flight, supernatural strength; Vulnerable to mistletoe, Thor's hammer; War, death; Glory, heroism; Winged, armor; Immortal; Sky, battlefields; Brave, warrior-like; Bringing souls to Valhalla; Champions of Norse gods; Iconic figures in Viking mythology; Modern female empowerment archetypes  Similar to Greek Keres and Morrigan.</s>
10; Phoenix; Egyptian; Mythical bird that rises from its own ashes; Rejuvenation through fire, longevity; Vulnerable to death by fire, rare phoenix tears; Rebirth, sun; Immortality, cycles; Flame-like, majestic plumage; Millennia; Volcanic regions, deserts; Solitary, protective; Renewal, purification; Sacred to Ra; Symbol of resurrection; Similar to fire spirits in various cultures.
11; Mermaid; Various; Aquatic creatures with the upper body of a female human; Enchantment through song, swimming; Vulnerable to ships, drowning; Ocean, mystery; Temptation, allure; Fish-like tail, aquatic features; Centuries; Seas, oceans; Curious, elusive; Attraction, danger; Sirens in Greek mythology; Modern depictions in movies, literature; Similar to sirens and water-spirits.
12; Minotaur; Ancient Greece; Half-man, half-bull monster from Cretan mythology; Supernatural strength, maze navigation; Vulnerable to mortal weapons, labyrinth traps; Maze, labyrinth; Fear, chaos; Bull-like, muscular; Decades; Labyrinth, underground; Aggressive, territorial; Symbol of the unknown; Slain by Theseus; Modern depictions in video games, novels; Similar to Satyrs and fauns.
13; Jormungandr; Norse; colossal sea serpent encircling Midgard, the world; Constriction, venom; Vulnerable to Ragnarok, Thor's hammer; Chaos, destruction; Doom, sea; Immense, serpentine; Eons; Ocean, sea; Swimming, territorial; Ragnarok, doomsday; Devours ships; Antagonist of Thor; Nordic mythology  Similar to world serpents in other cultures.
14; Harpy; Ancient Greece; Bird-like females associated with storms and vengeance; Flight, speed; Vulnerable to traps, arrows; Wind, storms; Retribution, vengeance; Avian, sharp talons; Decades; Cliffs, mountains; Scavenging, territorial; Divine punishment; Associated with gods' wrath; Modern depictions in fantasy; Similar to Griffins and Sphinxes.
15; Nekomata; Japanese; Supernatural cat-like entities with two tails and human-like abilities; Illusion, possession; Vulnerable to purification, spiritual charms; Afterlife, duality; Transition, mischief; Feline, two tails; Decades; Households, forests; Trickery, mischief; Spirits of abandoned cats; Connected to Shinto traditions; Modern depictions in anime, manga; Similar to Bakeneko and other yokai.
16; GiANT; Greek; Large humanoid creatures embodying strength and nature's wrath; Superhuman strength, endurance; Vulnerable to mortal weapons, mountain vulnerabilities; Nature, chaos; Power, fury; Colossal, muscular; Centuries; Mountains, hills; Solitary, territorial; Linked to Greek gods; Slain by Heracles; Modern depictions in pop culture; Similar to Jotuns and Titans.
17; Chupacabra; Puerto Rico; Legendary creature known for sucking the blood of livestock; Stealth, vampirism; Vulnerable to fire, bright lights; Blood, vampirism; Mystery, fear; Dog-like, spiky back; Unknown; Rural areas, forests; Nocturnal, elusive; Cryptid, unknown; Links to UFO sightings; Modern depictions in media; Similar to other cryptids.
18; Tengu; Japanese; Bird-like spirit beings known for martial arts prowess; Flight, shape-shifting; Vulnerable to purification, talismans; Mountain spirits, protection; Mastery, nature; Avian, humanoid; Centuries; Mountains, forests; Solitary, territorial; Protectors of nature; Warriors in Japanese mythology; Modern depictions in manga, anime; Similar to Garuda and Harpies.
19; Skinwalker; Navajo; Shape-shifting creature able to assume any form it desires; Shape-shifting, illusion; Vulnerable to silver, rituals; Shapeshifting, deception; Protection, danger; Varied, adaptable; Unknown; Woods, rural areas; Elusive, cunning; Malevolent, dangerous; Evil spirits; Modern depictions in horror; Similar to werewolves and other shape-shifters.</s>
