;"""Religion Name"; Beliefs; Deities Worshipped; Founder; Place of Origin; Major Denominations; Challenges Faced; Religious Celebrations; Important Symbols; Major Sects & Subsects; Community Structure & Roles; Holy Texts; Prophets; Demographics;" Socioeconomic Status"""
0;  Religion Name: Christianity; Beliefs: Trinity, salvation through faith in Jesus Christ; Deities Worshipped: God (Father, Son, Holy Spirit); Founder: Jesus Christ; Place of Origin: Israel/Palestine; Major Denominations: Catholicism, Protestantism, Orthodox Christianity; Challenges Faced: Divisions, secularism, religious fundamentalism; Religious Celebrations: Christmas, Easter; Important Symbols: Cross, Fish; Major Sects & Subsects: Roman Catholic, Eastern Orthodox, Oriental Orthodox, Anglican, Lutheran, Baptist, Presbyterian, Methodist, Pentecostal; Community Structure & Roles: Clergy (priests, pastors, bishops), laity; Holy Texts: Bible (Old and New Testaments); Prophets: Prophets of the Old Testament (e.g., Isaiah, Jeremiah), Jesus as the fulfillment of Old Testament prophecies; Demographics: Approximately 31% of the global population; Socioeconomic Status: Varies widely, from poverty to wealth.
1; Religion Name: Islam; Beliefs: Monotheism, submission to God, prophethood of Muhammad; Deities Worshipped: Allah (monotheistic); Founder: Prophet Muhammad; Place of Origin: Saudi Arabia (Mecca, Medina); Major Denominations: Sunni, Shia; Challenges Faced: Interpretation of religious law, political Islam, sectarian conflict; Religious Celebrations: Ramadan, Eid al-Fitr, Eid al-Adha; Important Symbols: Crescent and star, Kaaba; Major Sects & Subsects: Sunni (Hanafi, Maliki, Shafi'i, Hanbali), Shia (Twelver, Ismaili, Zaydi); Community Structure & Roles: Imam, caliph, muezzin; Holy Texts: Quran, Hadith; Prophets: Adam, Noah, Abraham, Moses, Jesus, Muhammad; Demographics: Approximately 24% of the global population; Socioeconomic Status: Varies widely, from poverty to wealth.
2; Religion Name: Hinduism; Beliefs: Dharma (duty, righteousness), karma (cause and effect), reincarnation, ultimate liberation (moksha); Deities Worshipped: Trimurti (Brahma, Vishnu, Shiva), countless gods and goddesses; Founder: Not a specific founder; Place of Origin: India, Nepal; Major Denominations: Shaivism, Vaishnavism, Shaktism, Smartism; Challenges Faced: Caste system, secularism, religious nationalism; Religious Celebrations: Diwali, Holi, Navaratri, Maha Shivaratri; Important Symbols: Aum (Om), swastika; Major Sects & Subsects: Advaita Vedanta, Vishishtadvaita Vedanta, Dvaita Vedanta, Arya Samaj, Brahmo Samaj; Community Structure & Roles: Brahmins (priests, scholars), Kshatriyas (warriors, rulers), Vaishyas (merchants, farmers), Shudras (laborers), Dalits (outcastes, untouchables); Holy Texts: Vedas, Upanishads, Bhagavad Gita, Puranas; Prophets: Rishis (sages, seers); Demographics: Approximately 15% of the global population; Socioeconomic Status: Varies widely, from poverty to wealth.
3; Religion Name: Buddhism; Beliefs: Four Noble Truths, Eightfold Path, non-self, dependent origination; Deities Worshipped: Buddhas (Gautama Buddha, others), Bodhisattvas; Founder: Siddhartha Gautama (Gautama Buddha); Place of Origin: India (Nepal border region); Major Denominations: Theravada, Mahayana, Vajrayana; Challenges Faced: Monasticism, secularization, modernization; Religious Celebrations: Vesak, Kathina, Ullambana; Important Symbols: Lotus, Dharma wheel; Major Sects & Subsects: Hinayana (Theravada), Mahayana (Zen, Pure Land, Nichiren, Tiantai), Vajrayana (Tibetan Buddhism, Shingon); Community Structure & Roles: Monks, nuns, lay followers; Holy Texts: Tripitaka (Pali Canon), Mahayana sutras; Prophets: No prophets; Demographics: Approximately 7% of the global population; Socioeconomic Status: Varies widely, from poverty to wealth.
4; Religion Name: Sikhism; Beliefs: Monotheism, equality, social justice, service to humanity; Deities Worshipped: Ik Onkar (One Supreme Reality), God; Founder: Guru Nanak Dev Ji; Place of Origin: Punjab (India, Pakistan); Major Denominations: SGPC (Shiromani Gurdwara Parbandhak Committee) controlled, independent Sikh groups; Challenges Faced: Preservation of identity, secularism, conflicts with Hinduism and Islam; Religious Celebrations: Vaisakhi, Guru Nanak Dev Ji's birthday, Diwali, Bandi Chhor Divas; Important Symbols: Khanda (symbol of Sikhism), Ek Onkar (symbol of monotheism); Major Sects & Subsects: Nirankari, Namdhari, Radha Soami; Community Structure & Roles: Granthi (priest, scripture reader), granthi-in-training (Granthi Singh), ragi (musician), Seva (service); Holy Texts: Guru Granth Sahib; Prophets: Guru Nanak Dev Ji, nine other Gurus; Demographics: Approximately 0.3% of the global population; Socioeconomic Status: Varies widely, from poverty to wealth.
5; Religion Name: Judaism; Beliefs: Monotheism, covenant between God and the Israelites, messianic expectation; Deities Worshipped: Yahweh (monotheistic); Founder: Abraham (covenantal father), Moses (lawgiver); Place of Origin: Israel, Palestine; Major Denominations: Orthodox (Modern, Haredi), Conservative, Reform, Reconstructionist; Challenges Faced: Assimilation, anti-Semitism, secularism; Religious Celebrations: Hanukkah, Passover, Rosh Hashanah, Yom Kippur, Sukkot, Shavuot; Important Symbols: Star of David, Menorah; Major Sects & Subsects: Hasidic, Mitnagdim, Modern Orthodox, Conservative, Reform, Reconstructionist; Community Structure & Roles: Rabbi (religious leader), cantor (synagogue singer), religious school teacher; Holy Texts: Hebrew Bible (Tanakh), Talmud, Midrash; Prophets: Major Prophets (Isaiah, Jeremiah, Ezekiel, Daniel), Twelve Minor Prophets; Demographics: Approximately 0.2% of the global population; Socioeconomic Status: Varies widely, from poverty to wealth.
6; Religion Name: Zoroastrianism; Beliefs: Monotheism, dualistic struggle between good and evil, moral responsibility; Deities Worshipped: Ahura Mazda (creator, goodness), Angra Mainyu (destroyer, evil); Founder: Prophet Zoroaster (Zarathustra); Place of Origin: Iran; Major Denominations: Zarathushtrian Assembly, Iranian Zoroastrian Association; Challenges Faced: Decreasing number of followers, assimilation, conflicts with other religions; Religious Celebrations: Nowruz (Persian New Year), Sadeh (midwinter festival), Mehregan (autumn festival); Important Symbols: Faravahar (symbol of Zoroastrianism), fire; Major Sects & Subsects: Parsi (Indian and Pakistani), Iranian; Community Structure & Roles: Priests (Mobeds), religious school teachers, community leaders; Holy Texts: Avesta, Gathas, Zend Avesta; Prophets: Zoroaster/Zarathustra; Demographics: Approximately 0.03% of the global population; Socioeconomic Status: Varies widely, from poverty to wealth.
7; Religion Name: Baha'i Faith; Beliefs: Monotheism, unity of humanity, progressiveness of religious truth; Deities Worshipped: Bahá'u'lláh, often considered a Manifestation of God; Founder: The Báb (precursor), Bahá'u'lláh (prophet-founder); Place of Origin: Iran; Major Denominations: No major denominations; Challenges Faced: Persecution, religious marginalization, conflicts with other religions; Religious Celebrations: Naw-Rúz (Persian New Year), Ridván (declaration of Bahá'u'lláh), Ayyám-i-Há (Intercalary Days); Important Symbols: Nine-pointed star, ringstone symbol; Major Sects & Subsects: No major sects or subsects; Community Structure & Roles: Local Spiritual Assemblies, Administrative Order (Hands of the Cause, Continental Boards of Counselors, International Teaching Centre, Universal House of Justice); Holy Texts: Kitáb-i-Aqdas, Kitáb-i-Íqán, Hidden Words, Seven Valleys, Four Valleys; Prophets: Báb (precursor), Bahá'u'lláh (prophet-founder), 'Abdu'l-Bahá (Center of the Covenant); Demographics: Approximately 0.1% of the global population; Socioeconomic Status: Varies widely, from poverty to wealth.
8; Religion Name: Jainism; Beliefs: Non-violence (ahimsa), asceticism, karma, moksha; Deities Worshipped: Tirthankaras (24 enlightened beings, starting with Rishabhanatha); Founder: Rishabhanatha (first Tirthankara); Place of Origin: India; Major Denominations: Digambara, Shwetambara, Sthanakvasi, Terapanthi; Challenges Faced: Limited number of followers, conflicts with other religions, secularism; Religious Celebrations: Paryushana (eight-day Jain festival), Diwali (celebration of Mahavira's Nirvana), Mahavir Janma Kalyanak (Mahavira's birthday); Important Symbols: Aum (Om), swastika, lion, fly-whisk, palm leaf; Major Sects & Subsects: Digambara, Shwetambara (Sthanakvasi, Terapanthi); Community Structure & Roles: Monks, nuns (ascetics), lay followers; Holy Texts: Agamas, Purvas, Angas; Prophets: 24 Tirthankaras, including Mahavira (24th Tirthankara); Demographics: Approximately 0.05% of the global population; Socioeconomic Status: Varies widely, from poverty to wealth.
9; Religion Name: Cao Dai; Beliefs: Monotheism, reincarnation, karma, ethical conduct, meditation; Deities Worshipped: Caodai (Supreme Being), regional and historical deities; Founder: Ngô Văn Chiêu (Cao Đài Ca Tyéndart); Place of Origin: Vietnam; Major Denominations: Cao Dai (mainstream); Challenges Faced: Limited number of followers, secularism, conflicts with other religions; Religious Celebrations: Cao Dai Festival; Important Symbols: Left eye, all-seeing eye; Major Sects & Subsects: No major sects or subsects; Community Structure & Roles: Papas (popes), cardinals, bishops, monks, nuns, lay followers; Holy Texts: Thánh Đạo Cao Đài (Cao Dai sacred scriptures); Prophets: Jesus, Buddha, Muhammad, Confucius, Lao Tzu, Victor Hugo, Sun Yat-sen, and many others; Demographics: Approximately 0.01% of the global population; Socioeconomic Status: Varies widely, from poverty to wealth.</s>
