;"""Gene Name"; Chromosome; Start Position; End Position; Protein Interactions; Expression Level; Mutation Frequency; Protein Function; Protein Structure;" Protein Evolution"""
0;" ""Gene Name"; Chromosome; Start Position; End Position; Protein Interactions; Expression Level; Mutation Frequency; Protein Function; Protein Structure;" Protein Evolution"""
1;"""BRCA1"; Chromosome 17; 41232738; 41234312; BRCA1-BARD1, BRCA1-BRCA2; Moderate; 0.0056; Tumor suppressor, DNA repair; Alpha/Beta fold;" Highly conserved"""
2;"""TP53"; Chromosome 17; 7578763; 7579419; TP53-MDM2, TP53-USP7; High; 0.0032; Transcription factor, cell cycle regulation; Alpha fold;" Moderately conserved"""
3;"""APC"; Chromosome 5; 112053772; 112062354; APC-AXIN1, APC-GSK3B; Low; 0.0021; Tumor suppressor, Wnt signaling; Coiled-coil domain;" Highly conserved"""
4;"""PTEN"; Chromosome 10; 89701109; 89703399; PTEN-PIK3CA, PTEN-AKT1; Moderate; 0.0018; Tumor suppressor, phosphatidylinositol signaling; Alpha/Beta fold;" Highly conserved"""
5;"""KRAS"; Chromosome 12; 25389812; 25390710; KRAS-PIK3CA, KRAS-BRAF; High; 0.0009; GTPase, signal transduction; Alpha/Beta fold;" Moderately conserved"""
6;"""EGFR"; Chromosome 7; 55227789; 55230116; EGFR-HER2, EGFR-HER3; Moderate; 0.0007; Tyrosine kinase, signal transduction; Alpha/Beta fold;" Moderately conserved"""
7;"""NF1"; Chromosome 17; 29880264; 29972148; NF1-RAF1, NF1-SOS1; Low; 0.0005; Tumor suppressor, RAS signaling; Alpha/Beta fold;" Highly conserved"""
8;"""AR"; Chromosome X; 66822482; 66825850; AR-PR, AR-ER; Moderate; 0.0003; Nuclear hormone receptor, transcription factor; Alpha fold;" Moderately conserved"""
9;"""AKT1"; Chromosome 14; 77119687; 77120574; AKT1-PIK3CA, AKT1-mTOR; Low; 0.0001; Protein kinase, signal transduction; Alpha/Beta fold;" Highly conserved"""
10;"""CTNNB1"; Chromosome 3; 41220500; 41222738; CTNNB1-AXIN1, CTNNB1-GSK3B; Moderate; 0.00005; Transcription factor, Wnt signaling; Alpha fold;" Highly conserved""</s>"
